название,единица_измерения,цена
"Переход 3,2 110х50",шт,75.0
"Переходник 3,2 110х75",шт,142.0
"Полуотвод 3,2 110/45",шт,120.0
"Полуотвод 3,2 50/45",шт,38.0
Ревизия пласт 100мм,шт,450.0
Ревизия пласт 50мм,шт,200.0
"Тройник косой 3,2 110х110/45",шт,270.0
"Тройник косой 3,2 110х50/45",шт,150.0
"Тройник косой 3,2 50х50/45",шт,80.0
"Тройник прямой 3,2 110х110/87",шт,210.0
"Тройник прямой 3,2 110х50/87",шт,140.0
"Тройник прямой 3,2 50х50/87",шт,65.0
"Тройник прямой 3,2 70х70/87",шт,95.0
"Труба 2,2 d 110х1000",шт,310.0
"Труба 2,2 d 110х2000",шт,560.0
"Труба 2,2 d 110х250",шт,100.0
"Труба 2,2 d 110х3000",шт,830.0
"Труба 2,2 d 110х500",шт,160.0
"Труба 2,2 d 50х1000",шт,135.0
"Труба 2,2 d 50х2000",шт,265.0
"Труба 2,2 d 50х250",шт,40.0
"Труба 2,2 d 50х3000",шт,375.0
"Труба 2,2 d 50х500",шт,70.0
"Труба 2,2 d 75х300",шт,35.0
"Труба 3,0 d 110х3000",шт,450.0
Канализация DENIZ,,720.0
"Канал труба ПВХ 110х2,2х3000 DENIZ синяя",шт,720.0
Канализация VALFEX,,75.0
Заглушка пласт 110мм (канализ)Valfex,шт,30.0
Заглушка пласт 50мм (канализ)Valfex,шт,12.0
Клипса пласт 110мм ВК Valfex,шт,30.0
Клипса пласт 50мм ВК Valfex,шт,20.0
Муфта 110мм Valfex,шт,115.0
Муфта 50мм Valfex,шт,42.0
Отвод 110х87 Valfex,шт,120.0
Полуотвод 50х45 Valfex,шт,32.0
"Тройник прямой 110/50х87,5 ВК Valfex",шт,130.0
"Тройник прямой 50/50х87,5 ВК Valfex",шт,75.0
Канализация Эльф,,50.0
Заглушка ПП 110 Политэк,шт,40.0
Заглушка ПП 50 Политэк,шт,20.0
Муфта ПП 110 Политэк,шт,150.0
Муфта ПП 50 Политэк,шт,80.0
Отвод ПП 110х87 Политэк,шт,120.0
Отвод ПП 50х87 Политэк,шт,50.0
Переход 110/50 Политэк,шт,80.0
Переход 110х50 короткий Политэк,шт,100.0
Полуотвод ПП 110х45 Политэк,шт,100.0
Полуотвод ПП 50х45 Политэк,шт,50.0
Тройник косой 110х110/45 Политэк,шт,250.0
Тройник косой 50х50/45 Политэк,шт,90.0
Тройник ПП 110х110 Политэк,шт,180.0
Тройник ПП 110х50 Политэк,шт,160.0
Тройник ПП 50х50 Политэк,шт,80.0
"Труба 110х1000 (2,2мм) Политэк",шт,350.0
"Труба 110х2000 (2,2мм) Политэк",шт,700.0
"Труба 110х3000 (2,2мм) Политэк",шт,1020.0
"Труба 50х1000 (1,8мм) Политэк",шт,150.0
"Труба 50х2000 (1,8мм) Политэк",шт,280.0
"Труба 50х250 (1,8мм) Политэк",шт,80.0
"Труба 50х3000 (1,8мм) Политэк",шт,350.0
"Труба 50х500 (1,8мм) Политэк",шт,110.0
ПРО АКВА,,1170.0
Обратный клапан для наруж.канализ.ProAquaTerra 110,шт,5000.0
Труба для наруж.канализ.ProAquaTerra 110х2000 SN4,шт,1170.0
Сифоны Эльф,,320.0
"Гофросифон 1 1/4""х40/50 с нержавеющей решетко",шт,230.0
Сифон для ванны с перел.с гт 40х40/50,шт,550.0
Сифон для душ.поддон 1 1/2*40 регул с вып.40х40/50,шт,350.0
Сифон для мойки1/2х40 с перел. с гиб.труб.40х40/50,шт,900.0
Сифон малый1/2х 40 с удлин.горл.гиб труб 40х40/50,шт,320.0
Шланги для газа,,520.0
"Подводка сильфон 1/2 1,5 гг ГАЗ",шт,300.0
"Подводка сильфон 1/2 1,5 гш ГАЗ",шт,300.0
"Рукав резиновый   III - 6,3  Р2,0",м,86.0
"Рукав резиновый   III - 9  Р2,0",пог.м,100.0
"Шланг бронированный 0,5м (Подводка сильфон)",шт,145.0
Шланг бронированный 1м (Подводка сильфон),шт,240.0
Шланг бронированный 3м (Подводка сильфон),шт,385.0
"Шланг газовый ПВХ 1/2""г-г-150см С-GP26-15 Valfex",шт,430.0
"Шланг газовый ПВХ 1/2""г-г-200см С-GP26-20 Valfex",шт,530.0
"Шланг для газа 1/2""г-г-200см С-G26-20SM Valfex",шт,520.0
Шланги поливные,,370.0
Насадка для полива 8-ми режимная TOLSEN 57100,шт,370.0
Опрыскиватель садовый 5L TOLSEN 57292,шт,1400.0
Разъем шланговый 1/2 TOLSEN 57118,шт,80.0
Распылитель для воды регул.для полива TOLSEN 57101,шт,320.0
Соеденитель для шланга 1/2 TOLSEN 57119,шт,110.0
Соеденитель для шланга TOLSEN 57171,шт,320.0
Шланг гидроуровневый 6мм,м,25.0
Шланг гидроуровневый 8мм,м,40.0
Шланг оранжевый поливочный CASPIAN 25мм,м,98.0
Шланг поливочный армированный МЕТЕОР 19мм. Эльф,м,50.0
Шланг поливочный армированный МЕТЕОР 25мм. Эльф,м,110.0
Шланг поливочный армированный МЕТЕОР 32мм.,пог.м,204.0
Штанг залив.Гобр. 2м 3/4,шт,180.0
Гипсокартон,,
Гипсокартон ГКЛ,,590.0
Гипсокартон ГКЛ KNAUF,,590.0
"Гипсокартон ГКЛ 12,5мм KNAUF Капчыгай",л.,620.0
"Гипсокартон ГКЛ 9,5мм KNAUF Капчыгай",л.,535.0
"Гипсокартон ГКЛВ 12,5мм KNAUF Капчыгай",л.,700.0
"Гипсокартон ГКЛВ 9,5мм KNAUF Капчыгай",л.,590.0
ГКЛ Брак,,
"Гипсокартон ГКЛВ 9,5мм Knauf Капчыгай (брак)",шт,364.0
Лист упаковочный от ГКЛ,шт,100.0
Дюбель гвозди для ГКЛ,,4.0
Дюбель гвоздь 6х40,шт,2.0
Дюбель гвоздь 6х60,шт,3.0
Дюбель гвоздь 6х80,шт,3.0
Дюбель гвоздь 8х100,шт,6.0
Дюбель гвоздь 8х60,шт,4.0
Дюбель гвоздь 8х80,шт,6.0
Дюбель пластиковый (улитка) для гипсокартона ТК,шт,4.0
Дюбель улитка DRIVA PA 14х32 ТК,шт,14.0
Дюбель улитка DRIVA PA 14х32 ТК,шт,4.0
Подвесы / Серпянка / Прочее ГКЛ,,37.0
Маяк М10,шт,30.0
"Подвес для ГКЛ 0,6мм",шт,7.0
"Подвес для ГКЛ 0,6мм 46см",шт,16.0
"Подвес для ГКЛ 0,7мм",шт,7.0
"Подвес для ГКЛ 0,8мм",шт,11.0
Подвес спица крючок 500мм,шт,12.0
Соединитель для профиля ГКЛ КРАБ,шт,20.0
Тяга профиля,шт,20.0
"Уголок перфорированный 0,6(откосный уголок)",шт,37.0
Уголок перфорированный с серпянкой 7см,шт,60.0
Уголок перфорированный ШИРОКИЙ,шт,45.0
Серпянка,,165.0
Серпянка 5х4500,шт,65.0
Серпянка 5х9000,шт,74.0
Серпянка 8х9000,шт,165.0
Серпянка 9х9000,шт,140.0
Серпянка Fiberon,,1626.0
Серпянка 100ммх45м самоклеющаяся Fiberon SMF226T,шт,170.0
Серпянка 150ммх20м самоклеющаяся 4WALLS,шт,150.0
Серпянка 230ммх20м самоклеющаяся Fiberon SMF225T,шт,200.0
Серпянка 43ммх20м самоклеющаяся Fiberon,шт,40.0
Серпянка 43ммх45м самоклеющаяся Fiberon SMF041T,шт,70.0
Серпянка 50ммх90м самоклеющаяся 4WALLS SMF104T,шт,235.0
Сетка Фасадная 1000мм х50м зеленая 5х5 SMF224T,шт,2700.0
Сетка Фасадная1000мм х20м унив..желтая 5х5 SMF114T,шт,1626.0
Сетка Фасадная1000мм х50м унив.желтая 5х5 SMF115T,шт,3100.0
Профили для ГКЛ,,510.0
Профили СЭЗ,,200.0
"Профиль 100/40 0,6 Сталкер",шт,410.0
"Профиль 100/50 0,6 Сталкер",шт,465.0
"Профиль 28/27 0,32 Сталкер",шт,90.0
"Профиль 28/27 0,6 Сталкер",шт,200.0
"Профиль 60/27 0,32 Сталкер",шт,140.0
"Профиль 60/27 0,6 Сталкер",шт,295.0
"Профиль 75/50 0,4 Сталкер",шт,315.0
"Профиль 75/50 0,6 Сталкер",шт,408.0
"Профиль 0,35-0,45",,130.0
"Профиль 28/27 (0,4)",шт,130.0
"Профиль 75/40 (0,5)",шт,280.0
"Профиль 0,6",,510.0
"Профиль 100/40 (0,6)",шт,510.0
Профиль КМК,,
Профиль Синтек Трейд,,
"Профиль направ-щий потолочный ПНП28/27/3000(0,3мм)",шт,120.0
"Профиль направляющий ПН 100/40/3000 (0,4мм)",шт,275.0
"Профиль направляющий ПН 75/40/3000 (0,4мм)",шт,235.0
Инструменты,,770.0
Инструменты ТОТАЛ,,1480.0
Адаптер для бит 60мм 2шт. TAC461601,шт,135.0
Адаптеры соединит-е быстросьемн 3шт THWS030301,шт,290.0
"Биты торсиные INDUSTRIAL ph2+ph2,65мм TACIM16PH233",шт,65.0
Гладилка 230х100мм ТНТ952316,шт,350.0
Гладилка нержав.280х130мм ТНТ81286,шт,800.0
Долото пикообразное зубило 14х250 TAC1511141,шт,210.0
"Заклёпка ручная 260мм,р.к.2,4мм,3,2ммТНТ32101",шт,800.0
Защитн.лицев.щиток TSP610,шт,980.0
Инструмент для снятия изоляции THT15606,шт,970.0
Кабелерез 160мм THT11561,шт,450.0
Киянка белая 220гр ТНТ76836,шт,525.0
"Киянка чёрная 220 гр,фиберглас.рукоятка ТНТ76816",шт,480.0
Клещи зажимные 250 мм ТНТ191001,шт,830.0
Клещи зажимные ТНТ190703,шт,460.0
Клещи строительные 200мм ТНТ2881,шт,470.0
"Ключ гаеч.комбин.11мм,152мм. TCSPA111",шт,150.0
"Ключ гаеч.комбин.12мм,161мм. TCSPA121",шт,145.0
"Ключ гаеч.комбин.14мм,183мм. TCSPA141",шт,125.0
"Ключ гаеч.комбин.15мм,191мм. TCSPA151",шт,195.0
"Ключ гаеч.комбин.22мм,262мм. TCSPA221",шт,250.0
"Ключ гаеч.комбин.27мм,331мм. TCSPA271",шт,450.0
"Ключ гаеч.комбин.6мм,101мм. TCSPA061",шт,75.0
"Ключ гаеч.комбин.8мм,121мм. TCSPA081",шт,85.0
Ключ разводной 150мм THT101066,шт,435.0
Ключ разводной 250мм THT101106,шт,1010.0
Ключ трубный №1 THT172011,шт,1025.0
Ключ трубный №3 THT172021,шт,2220.0
Краскопульт пневматический TAT10401,шт,2080.0
Кусачки торцевые 160мм черная отделка THT260606,шт,580.0
Лом гвоздодёр 600мм PRO ТНТ431242,шт,1370.0
Мини валик с набором роликов THT81121001,шт,1040.0
Молоток 1000 гр ТНТ7110006,шт,1050.0
Молоток 100гр угл.сталь рук.стекловолокно ТНТS71100,шт,305.0
Молоток гвоздодёр 220 гр ТНТ7386,шт,325.0
Молоток гвоздодёр 560 гр литой ТНТ7143206,шт,1480.0
Набор бит 30шт TACSD10306,шт,650.0
Набор бит 9шт TACSD3091,шт,350.0
Набор имбусовых ключей TORX 9шт ТНТ106391,шт,610.0
Набор имбусовых ключей экст. удл.HEX 9шт ТНТ106192,шт,780.0
Набор кольцевых пил по дереву TACSH3071,шт,610.0
Набор магн.бит с торцев. головкой TAC270831,шт,350.0
Набор магнитных уголков 4шт. TAMWH6002,шт,1000.0
Набор надфилей 6шт THT91462,шт,570.0
Набор отвёрток  6шт THTDC250601,шт,792.0
Набор отверток с насадками 24шт TACSD302462,шт,1130.0
Набор отвёрток сменный компл. 9шт THT250906,шт,780.0
Набор перьевых свёрл по дереву TACSD70131,шт,1595.0
Набор полотен по дереву 5шт HCS ТАС51101D,шт,290.0
Набор полотен по металлу 5шт HSS TAC51118B,шт,290.0
Набор свёрл по металу (6шт)TACSD0065,шт,325.0
"Напильник круглый,дл.200мм,стальТ12 ТНТ91386Р",шт,325.0
Нож многофункциональный 15 функций THMFK0156,шт,650.0
Ножницы для ПВХ труб 193мм 3-42мм ТНТ534216,шт,730.0
Ножницы хозяйственные 275мм THTSCRS812801,шт,385.0
"Ножовка 400мм,тол.0,9мм,терм.обр. THT55166",шт,605.0
"Ножовка 450мм,тол.0,9мм,терм.обр.ТНТ55186",шт,648.0
"Ножовка 500мм,тол.0,9мм,терм.обр.ТНТ55206",шт,900.0
Ножовка по металлу 300мм.ТНТ541036,шт,535.0
Отвертка c храповым механизмом TACSD30136,шт,646.0
Отвертка INDUSTRIAL PH0 75мм THT26PH0075,шт,95.0
"Отвертка INDUSTRIAL PH2, 38мм THT26PH2038",шт,145.0
Отвертка INDUSTRIAL S2 PH2 150мм THT26PH2150,шт,170.0
Отвертка INDUSTRIAL SL6.5 125мм THT266125,шт,190.0
Отвертка INDUSTRIAL SL6.5 38мм THT266038,шт,145.0
Отвертка PZ1 Длинна 100мм 5мм CR-V THT2446,шт,75.0
"Отвертка SL6,5/150мм,диам.6,0мм ТНТ2166Р",шт,150.0
Отвертка духсторонняя 18 в 1 THT250236,шт,1140.0
"Отвертка ударная SL6,5,150мм ТНGSS61506",шт,260.0
"Отвертка ударная РН3,150мм ТНТGTSPH3150",шт,260.0
"Отвертка ударная РН3,200мм ТНТGTSPH3200",шт,320.0
Очки для газ. сварки TSP303,шт,300.0
Очки для газ.сварки Автозатемняющиеся TSP9401,шт,1030.0
Очки защитн. прозрач. TSP304,шт,375.0
Очки сварочные Автозатемняющиеся TSP9402,шт,1100.0
Паяльник 60Вт(PRO)220-240V50/60гц с-ое жалоTET1606,шт,775.0
Перфоратор 1500 В ТН110286,шт,10500.0
Пистолет для силикона 235мм ТНТ21309,шт,610.0
Пистолет поливочный с адапт3/4 9 переключTHWSG6091,шт,1265.0
Пистолет поливочный с адапт3/43-х поз-й THWS010301,шт,575.0
Плоскогубцы 180мм PRO Cr-V ТНТ210706S,шт,690.0
Плоскогубцы комбин.200мм антикор.покр.ТНТ110806Р,шт,625.0
Плоскогубцы комбин.200мм маслобенз.рук.ТНТ210806,шт,800.0
Пневмошланг 15м ТНТ11151,шт,1900.0
Пневмошланг 5м ТНТ11051,шт,850.0
Рашпиль круглый 200мм ТНТ91786,шт,160.0
Рашпиль плоский 200мм ТНТ91586,шт,185.0
Рашпиль полукругл. 200мм ТНТ91686,шт,305.0
Скобозабивной пистолет с рег.сил.уд.ТНТ31141,шт,625.0
"Стеклорез 130мм,дер.руч.6реж.рол.ТНТ561301",шт,220.0
Струбцина тип F размер зажима 50х150мм ТНТ1320501,шт,520.0
Струбцина тип F размер зажима 50х200мм ТНТ1320502,шт,550.0
Струбцина тип F размер зажима 50х250мм ТНТ1320503,шт,525.0
Струбцина тип пистолет зажим 63х300мм ТНТ1340602,шт,745.0
Струбцина тип пистолет зажим 63х450мм ТНТ1340603,шт,880.0
Терка для декор. штукатурки THT8320106,шт,585.0
Тонкогубцы 160мм THT220606,шт,380.0
"Топор 600гр выс.угл.сталь,рук стекловолТНТ786006",шт,780.0
"Топор 800гр выс.угл.сталь,рук стекловолТНТ788006",шт,805.0
Штангенциркуль 150мм углер TMT311501,шт,1650.0
Щетка руч.латунированная 250мм THT92102,шт,305.0
Щетка чашечная со шпилькой 75мм TAC33031,шт,215.0
Электропассатижы 250мм THT15101,шт,740.0
Инструменты TOLSEN,,445.0
Адаптер 1/4-3/8-1/2 TOLSEN (3шт) 77864,шт,230.0
Адаптер SDS PLUS 1/2-3/8-1/4 TOLSEN (3шт) 77865,шт,490.0
Бируши TOLSEN 45081,шт,30.0
Бита магн.шестигранная 1/4 65мм*10мм (3шт)TOLSEN 77845,шт,230.0
Биты для отвертки 1/4 110мм (10шт) HOTECHE 251014,шт,650.0
Биты для отвертки PZ 2х65мм (10шт) HOTECHE 251016,шт,450.0
Бокорезы 180мм 7 Indastrial TOLSEN 10019,шт,580.0
Бокорезы 7/180 HOTECHE 100108,шт,560.0
Болторез 12 TOLSEN 10059,шт,1360.0
Вилы 4-х зубовые HOTECHE 376221,шт,1900.0
Горелка газовая с пьезозажиганием HOTECHE 710411,шт,680.0
Грабли садовые HOTECHE 362114,шт,1450.0
Держатель электрода сварочный 800A TOLSEN 44936,шт,1300.0
"Диск турбо тонкий по керамограниту и плитке 125х1,4х22,23х10",шт,740.0
Замок навесной железный 50мм HOTECHE 180305,шт,370.0
Замок навесной железный 50мм TOLSEN 55135,шт,290.0
Замок навесной железный 60мм HOTECHE 180306,шт,520.0
Замок навесной железный 63мм TOLSEN 55136,шт,430.0
Инструмент для черчения стен 30мTOLSEN 42013,шт,585.0
Клепальник ручной 10 TOLSEN 43001,шт,520.0
Клепальник ручной 10.5 Indasrial TOLSEN 43003,шт,780.0
Ключ комб. гаечный с трещеткой 10мм TOLSEN 15206,шт,340.0
Ключ комбинированный 12мм TOLSEN 15020,шт,160.0
Ключ комбинированный 13мм TOLSEN 15021,шт,200.0
Ключ комбинированный 14мм TOLSEN 15022,шт,190.0
Ключ разводной 8/200мм Indastrial TOLSEN 15309,шт,675.0
Короб торцовочный с пилой 300мм TOLSEN 31017,шт,900.0
Коронка для сверления металла 20ммTOLSEN 75920,шт,420.0
Коронка для сверления металла 25ммTOLSEN 75925,шт,530.0
Коронка для сверления металла 32ммTOLSEN 75932,шт,625.0
Коронка для сверления металла 40ммTOLSEN 75940,шт,900.0
Краскопульт воздушный 1000мл TOLSEN 73185,шт,2760.0
Краскопульт электрич.500Вт HOTECHE P801304,шт,5450.0
Лезвие для ножа 25х100мм (10шт) TOLSEN 30017,шт,320.0
Линейка алюминиевая 24/600мм HOTECHE 282056,шт,1020.0
Линейка алюминиевая 32/800мм HOTECHE 282058,шт,1300.0
Лопата садовая 215х290х1470 TOLSEN 58005,шт,1100.0
Лопата садовая 235х280х1470 TOLSEN 58006,шт,1100.0
Маркер перманентный (2шт) HOTECHE 424019,шт,145.0
Маска пылезащитная FFP1 (10шт) HOTECHE 435003,шт,140.0
Маска сварочная TOLSEN 45086,шт,610.0
Маска сварочная автоматическая TOLSEN 45182,шт,1000.0
Масленка 250мл HOTECHE 700043,шт,290.0
Мини набор садового шланга TOLSEN 57225,шт,1600.0
Молоток 2кг HOTECHE 210210,шт,1500.0
Молоток двухсторонний 35мм TOLSEN 25042,шт,660.0
Молоток резиновый 450грTOLSEN 25035,шт,430.0
Молоток резиновый 675r Indastrial TOLSEN 25175,шт,780.0
Молоток резиновый 675r Indastrial TOLSEN 25175,шт,580.0
Молоток резиновый 8OZ 225г Indastrial TOLSEN 25173,шт,420.0
Молоток слесарный 0.5кг TOLSEN 25003,шт,550.0
Молоток слесарный 2кгTOLSEN 25008,шт,1310.0
Молоток строительный 450грTOLSEN 25158,шт,550.0
Молоток цельнокованный16OZ 450грTOLSEN 25171,шт,1450.0
Монтировка 750*18мм TOLSEN 25111,шт,1000.0
Набор бит двухст.PH2/PH2х65мм(10шт)TOLSEN 20360,шт,525.0
Набор бит и головок(38шт) TOLSEN 20035,шт,1080.0
Набор комб.ключей (5шт) TOLSEN 15886,шт,1050.0
Набор комб.ключей (8шт) TOLSEN 15887,шт,1450.0
Набор отвертки храповой (14в1) TOLSEN 20040,шт,605.0
Набор отвертки храповой (7в1) TOLSEN 20033,шт,410.0
Набор отверток (100шт) HOTECHE 241100,шт,4800.0
Набор отверток (10шт) HOTECHE 241310,шт,1800.0
Набор отверток (4шт) TOLSEN 20737,шт,415.0
Набор отверток (5шт)VDE/GS TOLSEN V38012,шт,820.0
Набор отверток (6шт) TOLSEN 20014,шт,820.0
"Набор ремней стяжных 25мм*2,5м/225кг (2шт) Indastrial TOLSEN",шт,1020.0
Набор сверл по дереву 3-10мм (8шт) TOLSEN 75626,шт,420.0
Набор шестигранных ключей (9шт)TOLSEN 20049,шт,610.0
Наушники TOLSEN 45083,шт,540.0
"Нож алюм.с защелк.лезвием 18х0,5ммTOLSEN 30004",шт,50.0
Нож для шпатлевки 6в1 TOLSEN 40010,шт,240.0
Нож обойный 18ммTOLSEN 30090,шт,220.0
Нож обойный 18ммTOLSEN 30092,шт,200.0
Нож обойный 61х19мм TOLSEN 30110,шт,500.0
Нож с защелк. лезвием 25х125мм Indastrial TOLSEN 30016,шт,450.0
Нож с защелк.лезвием 18х100ммTOLSEN 30003,шт,190.0
Нож строительный 18мм HOTECHE 310718,шт,200.0
Ножницы для жести 10/250мм TOLSEN 30036,шт,670.0
Ножницы для пласт. труб 200мм 3-42мм TOLSEN 33001,шт,960.0
Ножницы канцелярские 8/200 HOTECHE 325001,шт,200.0
Ножницы по металлу 10/250мм левые TOLSEN 30021,шт,770.0
Ножницы по металлу 10/250мм правые TOLSEN 30023,шт,765.0
Ножницы универсалтные 7/180мм TOLSEN 30042,шт,520.0
Ножовка по металлу 300/12 TOLSEN 30052,шт,330.0
Ножовка ручная по дереву 450ммTOLSEN 31071,шт,550.0
Ножовка ручная по дереву 500ммTOLSEN 31072,шт,625.0
Отвертка (2в1) TOLSEN 20042,шт,200.0
Отвертка двухсторонняя 4/100мм HOTECHE 250401,шт,270.0
Отвертка индикаторная 4х190 TOLSEN 38115,шт,125.0
"Отвертка усиленная 1,0х5,5х100мм TOLSEN 20112",шт,230.0
Отвертка усиленная 5х38мм TOLSEN 20131,шт,90.0
"Отвертка усиленная 6,5х38мм TOLSEN 20132",шт,90.0
Отвертка усиленная PH 2х38мм TOLSEN 20134,шт,90.0
"Отвертка шлицевая 3х0,75мм TOLSEN 20001",шт,90.0
Отвертка шлицевая 4х100мм TOLSEN 20002,шт,120.0
Очки сварочныеTOLSEN 45075,шт,320.0
Пила алмазная для отверстий 10мм(3/8) HOTECHE 604003,шт,290.0
Пила алмазная для отверстий 25мм(1) HOTECHE 604010,шт,520.0
Пила алмазная для отверстий 32мм(1-1/4) HOTECHE 60,шт,640.0
Пила алмазная для отверстий 60мм(2-3/8) HOTECHE 60,шт,1160.0
Пила обрезная 350мм 6TPI 65Mn TOLSEN 31046,шт,660.0
Пила складная 180мм 7 TOLSEN 31014,шт,520.0
Пистолет для монтажной пены HOTECHE 423709,шт,785.0
Пистолет для монтажной пены TOLSEN 43062,шт,1420.0
Пистолет для силикона скилетного типа 9/225 TOLSEN 43041,шт,320.0
Пистолет проф.для заделки швов 9/225мм Indastrial TOLSEN 430,шт,450.0
Плоскогубцы 160мм 6 TOLSEN 10000,шт,460.0
Плоскогубцы 7/180 HOTECHE 100102,шт,655.0
Плоскогубцы 7/180 Indastrial TOLSEN 10016,шт,560.0
Плоскогубцы с зажимом 7/180 Indastrial HOTECHE 100122,шт,685.0
Рулетка измерительная 3м*16мм Indastrial TOLSEN 36012,шт,270.0
Рулетка измерительная 5м*19мм Indastrial TOLSEN 36013,шт,330.0
Рулетка измерительная 8м*25мм Indastrial TOLSEN 36015,шт,610.0
Сварочный держатель электрода 200А/35% N-56 RILAND,шт,570.0
Сверло черно-золотистое 6*57*93мм (10шт)TOLSEN 75119,шт,150.0
"Скоба для степлера 10J 11,2х8(1000шт)HOTECHE171038",шт,115.0
Скоба для степлера 10J L-6мм(1000шт)HOTECHE171036,шт,75.0
"Скоба для степлера 90 16х5,8(5000шт)HOTECHE 179016",шт,680.0
"Скоба для степлера 90 25х5,8(5000шт)HOTECHE 179025",шт,820.0
"Скоба для степлера 90 32х5,8(5000шт)HOTECHE 179032",шт,1030.0
"Скобы для степлера 0,7х8мм TOLSEN 43024",шт,60.0
Степлер мощ.4-14мм(5/32-9/16)IndastrialTOLSEN43020,шт,960.0
Степлер средний 4-8мм(5/32-5/16) TOLSEN 43022,шт,550.0
Тележка ручная гидравлическая 2500кг 550ммTAIZHOU KAYOND,шт,39300.0
Тележка ручная складная 200кг TOLSEN 62610,шт,5500.0
Топор 1000г TOLSEN 25255,шт,1036.0
Топор 1250г TOLSEN 25051,шт,1525.0
Топор 1250г TOLSEN 25256,шт,1645.0
Топор 600г TOLSEN 25053,шт,845.0
Топор 800г TOLSEN 25254,шт,830.0
Тяпка садовая 1380мм HOTECHE 376231,шт,1250.0
"Уголок алюм.14/350мм40*3,0мм Indastrial HOTECHE 282203",шт,650.0
Угольник алюм. 12/300мм Indastrial HOTECHE 282202,шт,640.0
Угольник алюм.16/400 Indastrial HOTECHE 282204,шт,700.0
Угольник алюм.18/450 Indastrial HOTECHE 282205,шт,760.0
Угольник алюм.20/500 Indastrial HOTECHE 282206,шт,860.0
Уровень магнитный 100см 40 TOLSEN 35114,шт,1666.0
Уровень магнитный 40см 16 TOLSEN 35111,шт,1200.0
Уровень магнитный 60см 24 TOLSEN 35112,шт,1250.0
Уровень магнитный 80см 32 TOLSEN 35113,шт,1550.0
"Хомут стрип пласт.6,8х550мм (100шт) HOTECHE 286655",шт,960.0
Шпатель 10/250мм HOTECHE 426002,шт,545.0
Шпатель 10/250мм TOLSEN 40024,шт,445.0
Шпатель 12/300мм HOTECHE 426003,шт,615.0
Шпатель 12/300мм TOLSEN 40025,шт,475.0
Шпатель 16/400мм HOTECHE 426004,шт,815.0
Шпатель 20/500мм HOTECHE 426005,шт,960.0
Шпатель 24/600мм HOTECHE 426006,шт,860.0
Шпатель 38мм HOTECHE 424302,шт,160.0
Шпатель 4/100мм HOTECHE 424306,шт,200.0
Шпатель 5/125мм HOTECHE 424307,шт,215.0
Шпатель 50мм HOTECHE 424303,шт,175.0
Шпатель 6/150мм HOTECHE 424308,шт,230.0
Шпатель 75мм HOTECHE 424305,шт,195.0
Шпатель 8/200мм TOLSEN 40023,шт,415.0
"Штангециркуль 0-150мм/0,05мм TOLSEN 35048",шт,1460.0
Щетка универ.250мм TOLSEN 32060,шт,120.0
Круги отрезные / шлифовальные,,50.0
Алмазные диски,,650.0
"Диск отр алмаз с/турб CUTOP 230х3,0х10х22",шт,1550.0
"Диск отрез алмаз CUTOP 150х2,2х8,0х22,2",шт,700.0
Диск отрезной алмаз. по бетону Total 125мм (Китай),шт,285.0
Диск с алмазной кромкой 110 MAXIMUM MX 06751,шт,190.0
Диск с алмазной кромкой 125 MAXIMUM MX 06775,шт,220.0
Диск с алмазной кромкой 125 золото Китай,шт,310.0
Диск с алмазной кромкой 150 MAXIMUM MX 06782,шт,390.0
Диск с алмазной кромкой 180 MAXIMUM MX 06799,шт,480.0
Диск с алмазной кромкой ORIENT RTA 115,шт,200.0
Диск с алмазной кромкой ORIENT RTA 150,шт,340.0
Диск с алмазной кромкой ORIENT RTA 230,шт,650.0
Диск с алмазной кромкой OSKAR OSA 110,шт,170.0
Диск с алмазной кромкой OSKAR OSA 115,шт,200.0
Диск с алмазной кромкой OSKAR OSA 125,шт,320.0
Диск с алмазной кромкой OSKAR OSA 150,шт,370.0
Диск с алмазной кромкой OSKAR OSA 180,шт,450.0
Диск с алмазной кромкой OSKAR OSA 230,шт,650.0
Диск с алмазной кромкой OSKAR OST 125,шт,530.0
Диск с алмазной кромкой OSKAR OST 180,шт,1045.0
"Диск с алмазной кромкой PIRANI 110х10х22,23",шт,410.0
Диск с алмазной кромкой PIRANI 125 золото,шт,550.0
"Диск с алмазной кромкой PIRANI 125х10х22,23",шт,600.0
"Диск с алмазной кромкой PIRANI 150х10х22,23",шт,745.0
"Диск с алмазной кромкой PIRANI 180х10х22,23",шт,900.0
Диск с алмазной кромкой Rodex RRA 125,шт,210.0
Диск с алмазной кромкой Rodex RRA 180,шт,470.0
Диск с алмазной кромкой Rodex RRA 230,шт,850.0
Диск с алмазной кромкой БОЛИАН 115,шт,320.0
Диск с алмазной кромкой БОЛИАН 150,шт,540.0
Диск шлиф алмаз двойн(черепашка)180мм КИТАЙ,шт,600.0
Диски по дереву,,200.0
Диск для циркулярной пилы RODEX RTS 40125,шт,180.0
Диск для циркулярной пилы RODEX RTS 40180,шт,275.0
Диск по дереву 125мм RTS40125,шт,200.0
"Диск по дереву 125х22,23 3 зуба MAXIMUM MX 13469",шт,280.0
Диск по дереву БОЛИАН 125 мм,шт,245.0
Диск по дереву БОЛИАН 150 мм,шт,410.0
Диск по дереву БОЛИАН 230 мм,шт,850.0
